text,labels
I think this was important to review based on cost and manufacturer.,1.0
My main focus was how effective each vaccine was in protecting and prevent covid. Next was how common and severe each side effect was.,0.375
No,0.875
I made my decisions based on the information I read about the vaccine,0.0
"To begin with, I don't have a problem with vaccines. I was all of 5 or 6 when I got the Salk vaccine on a sugar cube. nI did my due diligence in researching the Covid vaccines because of my age and because I did not want to end up in the hospital on a ventilator. I chose to get all three of the Pfizer shots because of its effectiveness at that time.nQuick backstory. Both of my daughters -in law are nurses. They refused to get vaccinated until they were ordered to by their hospitals in order to keep their jobs. Their husbands and children have not been vaccinated. Nor have my two brothers who are both in their 70's. They are both very active in their churches and they have worn their masks at every church function. I'm the only one who got the vaccine and yet, none of us have gotten Covid.nSMH u2013 What about those odds?",0.625
Compared the severity of the side effects with the percentage of protection from severe or death related to covid,0.75
None,0.25
I was mostly concentrating on the effectiveness of the vaccine overall. I also paid close attention of the side effects and how frequent they were.,0.625
i onnly cared about efficacy,1.0
I tried to compare how effective the vaccine is with how likely it is to have side effects.  I also considered how serious the side effects were.,1.0
I searched for side effects that I did not know the severity of.,0.5
I just wanted to know all of the details. Why would I get a subpar vaccine when I could get a vaccine that was highly protective against Covid? I wanted the greatest chance to be protected.,0.25
"I primarily looked at the percentages of risk against severe Covid or death, as well as the severity of the side effects.",0.625
I hovered over to see the percentage and I decided which would be the best decision.,0.75
I searched for an effective vaccine against COVID-19 infections and their origins.,0.5
I wouldn't say there were any specific reasons. I would characterize my search behavior as annoyed because I kept having to hover over the area for the information. I would have preferred to just see everything in one shot.,0.5
"I looked at all the information, looking for a reason not to get the vaccine such as death from the vaccine.  Anything less than a high death rate from the vaccine would not have swayed me from getting the vaccine because I think 1 or 2% dying from Covid is a high death rate and the sickness that comes with Covid is worse than most of the side effects listed in my opinion.",1.0
I made sure to look at all the risks.,0.75
"I particularly looked at odds of developing severe conditions, which were quite low for a person in good health.",1.0
I just went with the vaccines I was already familiar with and what offered the most protection.,0.5
they need to have at least 70% success if they had really bad side effects,1.0
I was looking at percentages and country the vaccine was from.,0.5
I weighed the severity of the symptoms as a result of being vaccinated versus the effectiveness.,0.75
I mostly just looked at the side effects. I also skimmed the percent that it would help.,0.0
I would characterize my search behavior as average. I looked to read about side effects and overall efficacy.,0.75
I looked at the effectiveness rate and how many severe side effect cases there were.,0.5
"I did not search for information in this survey. I did before I got vaccinated. I'm not crazy about the speed of development of these vaccines, but eventually got the Johnson vaccine because I only needed one shot. I believe I have had both the original covid strain and the omni strain but I can't prove it.",0.5
"I chose based on the effectiveness along with the likelihood of severe side effects (and what the particular side effect was, obviously).  If it had severe side effects but was only 70% effective, I wasn't interested, for example.",0.5
"I looked to see the effectiveness of the vaccine as well as the risk of what I consider severe outcomes (something that could have a potential long-term or life-threatening impact, not something like fever, fatigue, or muscle pain)",1.0
"Wow, where do I begin? For starters, I am an essential to expendable front line worker. I am a Respiratory Therapist who works for 4 different hospitals in 3 different areas. I base my findings on FIRST HAND OBSERVATION and talking to other healthcare workers across the country. Covid IS A FLU!!!!! It has a PROVEN 99.007% survivalrecovery rate. Funny how nobody is talking about how many people die of the flu every year. In the 2 months before the Ukraine war ended the pandemic 100% of the patients that we had in FOR COVID were FULLY VACCINATED. Let that sink in. YOU KNOW this shot will not prevent the contraction of or the transmission of covi.  THE UNVAX ARE GETTING THE VAX SICK.  Think about that for a moment.  YOU KNOW that this doesn't add up. Have you never questioned any of this?  WE HAVE SEEN HOW THE NUMBERS WERE INFLATED. Do you know what a case of covid is? It only requires a positive PCR result?  Do you know anything about the accuracyof the flawed PCR tests? Look into it, it is well documented. THE WHO told the CDC and FDA to instruct labs to run the PCR tests at 45 cycles, not the 25 cycles that they are designed to be run at.  This is fact look it up.  Spoiler alert: accuracy goes right out the window above 25 cycles. ( Yes, I hang out with Lab tech too).  I could go on and on. Did you every wonder why the FDA refused to release the adverse effect and safety data? Freedom of information act and the courts FORCED them to release the data. They agreed to, OVER 75 YEARS!!!!! (Well documented fact) Why do you think that is?  They gathered this data in months.  The courts FORCED them to speed it up and it should be out by August of this year. I have a ton of information. Look into it. Ask questions. I am not anti vax, I am anti mandate. Thank you and have a blessed day.",0.0
"Talked to my Doctor and Pharmacist about the various vaccinations, read as much as possible and tried to be as thorough as possible.",0.875
I would characterize my search behavior as minimal.,0.75
NONE,0.25
"The effectiveness was more important to me than the side effects, so I prioritized viewing those first.",0.75
No.,0.5
I was specifically interested in the severity of risky side effects. I also looked at the effective percentage.,0.75
No. NA,0.0
"It was more about availability at the time. I was working in a high risk field, so I got the vaccine as soon as I could. Fortunately I had the opportunity to also select for the type of vaccine that I preferred. During the initial months, vaccines were scarce and appointments were quickly filled. At the time I couldn't afford to be picky, and was eventually able to get an appointment slot. The search behavior could have been described as frantic and frustrating.",0.5
I did not search for information? I simply based my answers on the provided stats for each vaccine,0.5
No specific reason. I would characterize it as positive.,0.5
Depended on the affects and protectionnmoderate,0.5
The side effects were the most important to me (and how often they occur). This was the most important factor. I'd characterize my behavior as risk averse.,0.0
no specific way,0.5
I only searched information onPfizer,0.375
"I think if the symptoms were mild enough even it had high likelihood, I would get it. However for major symptoms like messing with the immune system, the effectiveness had to be really really high.",0.5
I mainly looked for the higher rates of protection.,0.375
"I like to follow scientists and hear what they have to say about the vaccines. I have a chronic illness that might make me immunocompromised, so I am interested to find out how the various vaccines would protect against the virus. I searched science journals that were open to the public on the effectiveness and outcomes of the vaccines. I also checked major news outlets for information.",1.0
"If it was a really low percentage, and cause severe effects I would not get it. If it was mild effects with a low count rate and had a high percentage I would get.",0.75
No.  I looked at all the information one category at a time.,0.0
"I mostly based my vaccine choices on how effective they were at preventing infectionsevere infectiondeath from COVID-19. If they were highly effective, then I would be willing to take them. If they were less effective, then I looked at the likelihood of side effects.",0.75
I just started at the top and read all the information that was available. My intent was just to read it all in order and very thoroughly.,1.0
I didn't use any behavior in particular other than trying to ascertain my general feelings for each individual vaccine while weighing the costsbenefits as well as safety of manufacturing practices based on location.,0.5
Anything that had to do with side effects of the heart frightened me. Also I check numbers so 10 out of 1 million is a low percentage.,0.375
"no,why the hell would I search when you provided the info?",0.25
"A vaccine that is 100% effective obviously doesnt exist so when a vaccine was 90% or higher I considered it. Then i looked at side effects, tiredness, fever and muscle soreness is to be expected I can sleep through that. But when you throw in blood clots and facial paralysis I did not opt for it.",0.375
To protect myself and family,0.125
My specific reasons for my search really only included looking for the most severe outcomes.  I also thought about country of origin.  My search behavior is heavily influenced by being VERY strongly pro-vaccine.,0.875
I would weigh the percentage of protection against the potential risks and decide if it is worth it to me.,0.875
"I took several factors into consideration: the country of origin, the method of delivery, the adverse effects, and the protection level. I would say I gave the most attention to negative effects and how much protection each vaccine offered. As I have pre-existing conditions, it is important to me to avoid contracting Covid-19 at all, if possible.",0.375
I looked for the negative effects first and then looked at the positive to compare and see if it was worth it.,0.375
no reasons....didn't search,0.875
"I am willing to get vaccinated under any conditions, so it wasn't difficult to decide",1.0
no,1.0
"I preferred the vaccines that came from the US, and the MRnA technology was preferred.  Then I looked at the risks and how likely they were.  I didn't care about discomfort but I gave pause to the more serious issues.",0.5
"I looked first at what the side effects were. The more serious the side effects the less likely I would be to take that vaccine. I was looking to minimize risk first, and maximize benefit second.",0.25
"I looked at the info, even though I felt I really didn't need to. I recognized a lot of names being presented and trust them and their tech. The benifits of a vaccine far out weigh verry, very, small chance of severe side effects in my opinion.",1.0
"I made up my mind long before the study and new information wouldn't convince me right now. I think people can make their personal choices in the matter. I currently go out less than once a month to run errands with a mask and gloves on. I don't think I'm at risk of catching or spreading COVID-19, and I don't think a vaccine is necessary for me, personally.",0.0
I looked for the severity of side effects and the effectiveness of the vaccine.,0.0
"There wasn't really any specific reasons, I just kind of followed my initial reaction to be honest.",0.75
Any severe side affects and also the percentage from severe covid and death from covid.  Those amounts had to be high percentage of not getting it.  The side affects depended on how severe they were determined whether I would of received the vaccine.,0.625
"I decided based on protection level and amount of severe side effects. Theoretically I would say no to most and only pick Pfizer (which is what I did in real life), and I also had information extra, for example J&J doesnt last for long, which influenced my answer too and may be interesting to add into this study.",0.5
There were no specific reasons -- i just looked at the data and did what felt right,1.0
I wanted to see if the benefit outweighed the risk,0.5
I was more concerned with the effectiveness of the vaccines as opposed to the side effects,1.0
nan,0.375
no,0.5
i mostly focused on the percent of success and how bad the risks were,0.875
"While I was concerned about the side effects from the vaccine or by contracting the virus,  my main concern was for the effectiveness of the vaccine in preventing the virus or at least preventing serious illness if I got the virus.",1.0
Side effects play a major role in how i decided. I would not take something that will give me severe side effects,0.125
"No specific reasons, I did not search for information about the vaccines presented in the choice task.",1.0
"The efficacy rates were the most important factor to me in the choice task, how well they do their intended function is probably the most important piece of information. After that it was reviewing the side effects and percent chance that I could experience those and then doing a quick cost-benefit analysis.",0.75
Looked at the CDC information and then where they sourced information.,0.375
I just looked at all of the information available and made a decision based on my emotions,0.625
No.,0.375
I just weighed the greatest benefit to me along with the least percentages of risks I am willing to take.,0.5
"I would have taken Moderna or Pfizer as either my first shot or my booster. The Johnson & Johnson numbers on effectiveness didn't look as good to me. I ended up getting Pfizer for both shots, and seeing how it has been effective against the variants, I'm happy with that decision",0.5
"I don't like side effects after vaccines. I know that a few days of side effects is better than the illness (and possibly death) but if I can prevent side effects while also getting protected, that is the choice I make. That is how I decided. A balance between manageable side effects and good efficiency in the vaccine.",0.625
Mainly looked at how effective it was.,0.625
I looked for average percentage chance to experience side-effects and the overall severity of danger for each side effect. I would characterize my search behavior as very skeptical but pragmatic.,0.0
"I avoided vaccines that stated the more severe side effects (inflammation, immune system attacking nervesblood, etc.) because I knew that there are vaccines that don't have those side effects. Furthermore, I looked for higher percentages of protection against severe COVID-19 and protection against infection.",0.5
i rejected anything that had serious risks no matter how minimal,0.375
I looked a lot at what type of side effects there were as well as the percentage of protection it provides against death and severe covid.  To me those are the most important factors.,1.0
My primary concern while searching for information was to find how the risks of each vaccine compared to the possible percentages of protection. I often accessed this information to more or less make an unbiased decision before looking at who or where the vaccine was coming from.,0.625
I have multiple sclerosis so have to be very careful not to get COVID. Even getting just a cold would have a much bigger effect on me then other people. I looked at the percentages of avoiding getting COVID with each vaccine. I was willing to take risks with worse side effects if the percentages showed likelihood of getting it was low.,0.625
I just did a general weighing of the positivesnegatives from the information provided. I tried to be simply analytical about it and judge what the likelihood of me having a negative effect versus the positive effects.,0.875
"mostly checked the side effects. Also i put 0 on what i would pay to avoid the vaccine, cause why would i have to pay for that? I just would not get it.",0.5
My search behavior was instinctual.,0.25
"Left column first, top to bottom.nRight column second, top to bottom.nWent back to re-view info as needed.",0.125
The ones with negative side effects that could cause longterm problems worried me so I chose no for those except for Pfizer since I got it already and will probably get it again for my 2nd booster. My first vaccine was J&J and I didn't get negative side effects but I still regret getting it and wouldn't again so I chose no on that one too,0.25
I searched for vaccines with a high percentage of benefits and a lower percentage of risks or risks that were less severe. I would characterize my search behavior as weighing out the pros and cons.,0.5
Want to learn the risk. Searching on websites to learn more.,0.125
I looked at all the information and weighed the risks and benefits of efficacy rates as well as vaccine types. Some types of vaccines have shown to be less effective. I also looked at the side effects and their rates of potential.,0.5
I looked mostly at negative effects and based my decision on that.,0.375
I have received vaccines and allergy shots before. I beleive in the science.,0.375
I have decided that the pros of being protected from covid 19 while vaccinated heavily out weighs the cons. I characterize my behavior in the sense that I am not overly excited about getting vaccinated in fact I am quite worried about the side effects but I would rather deal with the possible side effects opposed to not getting vaccinated and being at a higher risk of dying from covid.,0.75
I chose based on how stressed out I would be before and after getting one of the vaccines from a company I was unfamiliar with or that had unsatisfactory numbers,0.375
"I was concerned with how many cases a side effect would occur in to determine how likely I would be to have that side effect. I was then concerned with how severe the side effects were and whether or not I could handle them.  I then considered how effective the vaccine was, especially against severe symptoms and death.",0.25
"I did more of a cost to benefit analysis. If the costs were minimal or not very harsh and the benefits were somewhat high then I chose it. If the benefits were extremely high and the costs were bad, but minimal, I figured I'd take my chances because I'd probably get those costs after contracting covid if I was prone to getting them.",0.75
No there were not.,0.875
I am somewhat ashamed to say that I chose not to be vaccinated from vaccines coming from India or China. I also prefer to choose MRNA vaccines or inactivated vaccines.,0.375
Avoid extreme side effects with high percentages and avoid efficacies of less than 70%,0.5
"I would characterize my search behavior as examining the risks versus the protection percentage the vaccine provides. I am skeptical of any reported side effects as I don't believe there is a true and accurate accounting of all the side effects at this time. I will wait until more time has passed regarding the vaccine, then reevaluate my stance. But at this time, I will not be getting this vaccine.",0.0
Followed what medical experts said or say.,0.5
There were no specific reasons. I just read all of the information provided and then based my decisions based on my understanding of the information presented.,0.625
trying to determine the riskrewards of each,0.25
"What was most important to me across the board were the negative side effects and their likelihood. If I felt that I could possibly handle those side effects, then I'd look to see how effective it protected against death or severe illness from COVID.  The stat for getting COVID was of the least concern for me as well as the countrycountries that produced it.",0.5
"Least side effects, greatest protection",0.375
"I don't have a specific reasons for searching for vaccine information. I would call my search behaviour as it's necessary to know all information possible before making decision, since I checked for all the information in the boxes.",0.625
I looked at all the information,0.875
Focused on benefits however may be biased as close family member passed from Covid prior to vaccine availability.,1.0
I  generally would accept those vaccines which provided me good coverage against severe cases and death. I was less likely to choose those vaccines that had a decent likelihood of having severe side effects.,0.75
"Mainly side effects and secondly the overall effectiveness of the vaccine. I have auto immune and under no circumstances will I be convinced to take a vaccine that can cause additional harm or inflammation to my nerves, muscles or heart.  The effectiveness of the vaccine is sad. Have you ever heard of anyone getting a little bit of the measles?",0.0
"I mainly just compared the severity of side of effects (not really caring about the chance of the side effects. I'm not taking the chance on facial paralysis, no matter how small it is. Any kind of paralysis is one of my major fears. ) with the effectiveness against COVID. If the COVID effectiveness was anything below 90%, it was a no from me.",0.5
I didnt search in a specific way I suppose I just weighed the options of the symptoms and picked one of the vaccines.,0.625
"I have had very severe reactions to vaccines in the past. I would often get chronically ill when taking them. When I stopped participating in Western medicine my health improved dramatically. I had my last vaccine over 20 years ago. nnI have never tested positive for Covid 19, however I did test positive for antibodies. I've been in situations where I've been exposed multiple times and have not tested positive. nnI work in the arts where people are VERY gung ho about the vaccine and love to shame people who haven't had it. Many of these twice Jabbed and boosted people have had Covid. nnI have completely changed my lifestyle because of Covid. I only hang out with a very small group of people. I'm rarely around more than 5-10 people ate any given time. I work alone and independently. I don't go to parties and if I got to a bar or restaurant it's only during very off hours. nnI take Covid seriously. I get tested regularly and isolate if I feel so much as a cold. nnI would be willing to get a vaccine in the future potentially if vaccinated people didn't get Covid! Right now I don't have faith in the pharmaceutical companies, the CDC or the government. nnI will not under any circumstances pay to not be vaccinated!",0.0
"I first looked to how effective the vaccine was even against just a regular COVID-19 infection because I have underlying health conditions that might put me at risk just for getting infected. Seeing that information first was what helped me decide whether it was worth the side effects or not. I wasn't scared off of any vaccine because of scary side effects because most of the worst ones had such a low frequency. Mostly, I just didn't think any side effects were worth a vaccine with less than a 75% effective rate against a regular Covid infection.",0.625
"One of my kids is  a research junkie, so I turned to them for assistance.  Before I got vaccinated, I didn't do a lot of independent research, because it seemed very hard to get unbiased information.",0.5
I'm not what you mean by how you searched for information but I wanted to chose the vaccines that gave me the most coverage and the least risk so that the symptoms would be worth it. I would be willing to have a fever if it prevented death and hospitalization by 90% for example but not risk paralysis for a 70% effectiveness.,0.625
"No, I did not search for information about the vaccines. I was administered the only vaccine available at the moment - Pfizer.",0.375
"The effectiveness of the vaccine is number one, then looking at the side effects.",0.625
The country of origin is one of the most important factors for a vaccine,0.625
the blood clotsface paralysis were some of the most concerning. I also went by percentages how protective they were against getting severely sick with coviddeath,0.625
I was mainly weighing the severity and probability of the side effects against the probability of the vaccine doing its job. Two of the vaccines had low enough effectiveness that they did not seem worth the risk.,0.75
"I don't mind getting vaccines at all, even with severe side effects as long as they're rare. I mainly looked at the side effects.",1.0
"I wanted to see the risks (and their likelihood) for each of the vaccines. For those vaccines with what I considered more dire risks (for example having the immune system attack parts of the body), that formed the bulk of my decision--I would not select that vaccine.nnFor the ones that didn't have such dire risks, I then concentrated more on the benefits, where I would rate vaccines with higher levels of preventing death or severe COVID-19 infections as being more desirable.",0.75
"I always looked at all the information, but I was particularly interested in the protection against severe COVID-19 and death. Typically I'm not too worried about the side effects since the really bad ones are very unlikely to happen, and the other side effects are less dangerous than getting severe COVID-19.",0.75
"I worry about death and significant side effects, so that is number one.  I factor in a little that they may be underestimating as the studies were rushed and probably flawed.  On the effectiveness side I don't want to get injected with things unless it is likely to do the job.  So pretty much above 90 effectiveness or no.  I am not worried about myself - I am healthy, not immunocompromised, etc.  But I am willing to do my part to help society and others.  Ultimately there is some risk we can die of anything.",0.875
no,0.25
I looked for greater than 90% effectiveness. I tried to be careful to compare the vaccines to one another.,0.75
risks and effacacy,0.5
I just moused over the boxes to read the information.,0.0
"I went with percentages and also the brand. If it felt off, I didn't go with it. The percentages were important. The severityfrequency of the side effects also played a factor.",0.125
"I mostly looked at the percentage of effectiveness of protection especially giving weight to severe covid and death.  Secondly, I looked at the side effects and how often they occurred.  But before I even started searching, I paid attention to the name of vaccine and country of origin.  I was more likely to trust vaccines I had already read about in the news.",0.625
I went one row at a time a looked at all the information. I would characterize it as thorough.,1.0
I mainly looked at severe side effects and how it related to fertility or long terms problems.,0.25
"I mostly chose the vaccines that had higher than 80% protection against infection from COVID-19, and those that did not have severe side effects.",0.625
"I just wanted to see all of the information presented to make a choice.  So, I moused over each item.",0.625
"its free to make choices, people give into peer pressure because they are weak-minded",0.0
"I prioritized vaccines with non-severe side effects, even if they were quite effective and beneficial. I'm willing to gamble and social distancewear face masks if it means I don't get a potentially dangerous vaccine",0.625
"effectiveness, country of origin, parts of actual virus, more extreme health hazards.",0.5
I looked for the least severe and scary reactions and the best outcomes for severe covid19 possiblities.  Getting covid19 had less of a factor because I see covid19 as something that we all my catch eventually and that doesn't scare me because I am vaccinated and double boosted.,0.75
"I looked at the number of people who suffered side-effects vs how effective the vaccine was in protecting people from infection, severe infection, and especially, death. Myself and a close family member have compromised immune systems and were being extremely cautious, but contracted COVID before the vaccines were invented. We both were hospitalized. I take COVID-19 very seriously and feel grateful for the vaccines.",0.625
"For me it's all about preventing severe Covid andor death. The side effects were not large enough to really be an issue for me, because they were likely to not happen.",1.0
I looked at all the information but took a closer look at the numbers for preventing fatal side effects of covid. The rest of the numbers I looked at but were not as an important factor.,1.0
I CHOOSE WHICH VACCINATION WAS THE BEST AND THE LEAST SIDE EFFECTS.,0.5
I looked for serious side effects and weighed that against it's effectiveness. If there were major side effects then I looked at the prevalence of those side effects. 16 out of a million is pretty good odds.,0.5
"I just looked over all the information. After survival, the rest is minor.",1.0
I want to know risks,0.25
I wanted to know about high percentages of preventing COVID and low amounts of strange side effects,1.0
"I looked at which vaccines caused any paralysis, blood clots, severe muscle pain, heart membrane inflammation because I would never want those symptoms. I looked for vaccines that had effective rates in the 90 percent range both for not getting COVID, for not getting severe disease, or for not dying because I don't want to get COVID period. I got the Moderna and was very happy to see the percentages listed. I really didn't care about the technology as long as the symptoms were manageable, and the effective rates were in the 90 percent range.",0.5
nan,0.125
I looked at effectiveness above everything else.,0.25
"I began with country of origin. Due to the authoritatian nature of China's government and censorship of information there, I do not trust Chinese vaccines to be safe.  I don't believe they would tell you if they were unsafe or ineffective.  I rated the rest of the vaccines on the basis of rate of effectiveness and low extreme side effects (which eliminated Johnson and Johnson)",0.5
"Not really, I closely observed the percentage of protection as well as the severity of the risks of the vaccines in choosing which to take or reject.",0.625
There weren't specific reasons. I just looked at the risks and benefits and weighed them to myself.,0.75
I found different answers and have heard the CDC say they were not sure about long term effects. they have said I don't know to quite a few questions. I feel that we are the trials for the vaccine since it has never been used on humans. This is still only been approved for emergency use and have never gone through the proper testing.,0.0
I looked for high percentage against covid with the least amount of side affects.,0.625
"I had a stroke from a blood clot before. So, I do not want that again. I am anemic. Anything attacking my blood would be bad. I don't want my face to be paralyzed or my nerves to be damaged.",0.625
"The 2 main factors were the likelihood of protection against Covid (especially severedeath), and the likelihood of side effects I considered very negative (as opposed to more mild ones like tiredness). I was also more likely to trust brands I heard of like Moderna and Pfizer.",0.875
"I was primarily interested in how well the vaccines protected against COVID-19, especially severe COVID-19 and death. Bad side effects took a secondary role, as I feel that most bad side effects are preferable to death.",0.75
I looked especially at the country of origin and gauged the severity of the side-effects,0.5
which one was the safest,0.375
"I was mostly interested in how effective it was at preventing COVID. For the risksside effects, I did not mind typical side effects (headaches, muscle pain, fever, fatigue) but if it was something much more serious like blood clots, I did not say yes.",0.75
"I would mostly against the life-changing side effects, ones that will stay with you for a long time.",0.375
The only information that I was mainly concerned with were percentages of severe side effects of vaccines. I found that the less severe side effects were acceptable.,1.0
Country of origin,0.375
"I scanned all the information, but I was mostly looking for high protection against death or severe cases, and low likelihood of the most dangerous side effects like blood clots.",0.875
"Part of it was definitely name recognition, as I have literally been vaccinated with the Pfizer vaccine. I think that a lot of the vaccines that I've received in my lifetime probably have similar risk possibilities as the ones listed in this study, so I tried to not be too critical of any of them, but any vaccines with side effects that seemed to affect larger portions of people had to be well effective against COVID-19 for me to be in support of it.",0.5
I based my searches on my own preexisting health conditions. My search behavior was moderately interested.,0.375
weighed risks vs benefit.  heavily weighted negative side effects despite effectiveness of vaccine,0.5
I saw how effective it was and then how severe the side effects were and whether it was worth that risk for that much protection,1.0
"I looked for efficacy, side effects, and severity of side effects. I was pretty involved reading the data and making an informed decision.",0.625
Country of origin was important and how much I could suffer with certain side affects,0.5
I gravitated toward vaccines that had the highest efficacy,0.75
"I went mostly by how effective the vaccine was going to be, if it was under 80% that doesn't sound like a very reliable choice. I did also consider the side effects, but there are side effects to every vaccine and the numbers were pretty low for all the vaccine choices.",0.625
I didn't do any research. I based my answers off information I read previously.,0.5
I just wanted to know how well the worked and how extreme the side effects are.,0.75
I looked for percentage of effectiveness first and then looked at the chances of a negative side effect happening and weighed the pros versus the cons. I was definitely more negative thinking about the shot to begin with so it took a lot to click yes i would get that shot,0.25
I looked at the severity of the risks and how commonly they occurred before I decided,0.875
I weighed the benefits and risks of each vaccine,0.75
"I would rather have almost any vaccine than no vaccine at all.  I also live below the poverty line, so I cannot pay much for vaccines.",1.0
I based it on numbers and how high or low they were.,0.5
I just hovered my mouse over every detail about each vaccine.,1.0
"I knew that I would get any vaccine to help with COVID, and I thought of it in a vacuum, as if each one presented were the only one available to me vs. all the other ones being available. It turned it into a yes or no choice, and the side effects would have had to be pretty severe AND pretty likely for me to not protect myself against COVID.",1.0
If there are thousands of people with severe side effects I would not want it.,0.0
There was not. I legitimately just looked at all the information I was presented with and made decisions based off of that.,0.625
Thank you,0.0
I looked at all the risks and all the benefits.  And tried to weigh them and make a decision.,0.75
No I just went with what I saw on the news,0.625
I got my vaccine based on the two that were vailable in my area at first. Moderna was the one that was being given ner me so I went with it and with future boosters I have stuck with the same branding.,0.75
All the information provided me felt like they were reasonable when the alternative is severe covid and death. Even a 70% chance at protection is better than being unvaccinated with 0% protection. God knows I can't depend on my fellow man to help keep me and my family safe so any protection is better than no protection when anyone could be the next typhoid mary.,1.0
"Looked at the laboratory, the country of    origin, the overall effectiveness, and finally the side effect frequency",0.25
my decisions were mostly influenced by the percentages for the scarier side effects,0.875
I wanted to avoid anything above a 2% chance; and anything approaching a 1% for a severe symptom or immunocompromising vaccine,0.75
I wanted the best info possible.,0.75
I just tried to be objective as I was searching.,0.875
I didn't search online.,0.625
I was interested in its effectiveness and what type of side effects were possible.,0.5
no,0.875
"i really dont care, i just want to be protected",0.5
I mostly looked a percentage effective.,1.0
"Nothing specific, except protection percentages and since none of the vaccines have undergone full long term studies so the true picture can be seen, I prefer not to take them, with the potential exception of vaccines made in the standard tried and true method.",0.125
Any side effect that was of the heart or a blood clot.,0.5
I prioritized life altering negative effects and country of origin.,0.375
I used official websites such as the CDC site. I also listen to discussions between researchers and scientists. I would say it was an objective search but more research.,0.625
The vaccination against this specific virus has been useless and the benefits are nil unless you are in a risky group.,0.0
I want to see side effects and success rate first of all.,0.25
I was concerned about my age and heart and lung condition.,0.0
looked at how severe the chances of getting the really bad side effects vs. the effectiveness of the vaccinee against severe infection andor death. and made my decision accordingly,0.5
"I didn't really search for any information, I simply decided that no matter the risk the reward of having some protection outweighed that risk.",1.0
I looked at the risks and chance of them,1.0
"I didn't pay much attention to the type of vaccine, but concentrated on the benefits and potential side effects. It was difficult, however, to get a good sense of risk from the side effect statistics since a number out of a million is a bit abstract.",1.0
"It was interesting to find information about technology of each vaccine, its effectiveness and side effects.",0.375
I mainly just checked their actual stats.,0.75
The mandates,0.0
I didn't necessarily search out information in a specific order. I just read in the order from top to bottom and left to right that it was presented. But the most important to me were the numbers to show effectiveness and how common a certain side effect was (especially if the side effect was more serious).,0.875
"I looked at the prevalence of negative side effects of types that I felt really uncomfortable about, like heart issues.  Most other types of side effects, like fever and headache, were of no concern.nI also looked at overall effectiveness at preventing Covid, preventing severe Covid, and preventing death.",0.75
"I just wanted to know how much discomfort I would potentially receive for how strong the vaccine protected from the disease. Overall, if the disease could be most likely confirmed that I would not get it then I worried a lot less about the side effects which all seemed low odds of happening to me in the first place.",0.75
"My primary motivation in deciding whether or not to take the vaccine was almost entirely based on its efficacy. Anything with 90% efficacy or above was an automatic yes from me, regardless of side effects. Anything less than that does not seem worth it to me, especially with the prevalence of breakthrough infections. I am also young and very healthy, and I know that side effects are just a sliver of what can come with full-blown COVID. I also experienced side effects from all three doses of the vaccine I received, and if anything, I was happy to know that the vaccine was doing its job. Furthermore, when I got COVID myself, I was already double vaccinated, and the symptoms were still pretty bad for me u2014 I had the sorest throat I had ever had in my life and I lost my voice almost entirely for several days. That really indicated the severity of this virus, and I think that some side effects are a small price to pay to avoid that.",0.5
I wasn't willing to get vaccines that could cause death or lifelong problems (like facial paralysis),0.625
"As being a young person with fairly healthy immune system, i care more about the effectiveness of preventing getting covid than other factors",0.875
I wanted to look for high effectiveness and low severe side effects.,0.375
I was interested in country  of origin. I wouldn't take any vaccine that originated in china. I also don't believe that a vaccine for covid is needed.,0.0
"No specific reason. I had 2 vaccines and have experienced heart beat skip since then, so I am not in favor of vaccine",0.25
no,0.625
I was looking at the side effects first.,0.25
I just wanted to see the effectiveness and the side effects percentages,0.375
I would never do a comparison the way information was presented in this experiment.  I would make a table with risksbenefits of each vaccine and look at them together.,0.75
I mainly looked at effectiveness and whether there was a fairly high chance of severe side effects. I would have liked to know how long the side effects last.,0.875
didn't search,0.375
"Information seeking, I simply attempted to learn the information that was offered.",0.25
I was mainly looking at the protection % and where it was made.,0.625
I read the information given in each task carefully and selected options I considered true to me.,0.375
I didn't care for vaccines with side effects that could be fatal. I also leaned towards the higher percentages of effectiveness.,0.375
Just what had good ratings and low effects,0.75
I looked at all the information.,0.75
No specific reason. I looked at all the information presented to make my decision.,0.0
I chose by their effectiveness and severe adverse reactions.,0.625
I did it based on the percentages and if the pros outweighed the cons. I was looking for high protection effectiveness paired with the lowest chance of dnager.,0.625
"I tried to get a picture of how much I would be protected from COVID of various levels of severity, and I looked to see how extreme a possible side effect could be, such as facial paralysis.",0.875
I looked for the most severe drawbacks and felt less comfortable with those being emphasized and I also looked at the percentages of vaccine effectiveness to make my choices. I'm not sure how I would characterize my search behavior.,0.625
I looked at all of the information available before making a decision about anything,1.0
"I did not search at all. I had a bad case of covid and received the monoclonal antibodies. I am already on blood thinners so the risk of that side effect is small. I learned all about the vaccines both from my doctor, and my son who is an infectious disease MD",0.375
mostly relied on the percentages and the severity of the side effects.,0.875
"In general, I didn't pay much attention to the risks and mostly focused on how effective each vaccine was at preventing COVID-19 infection and death. Many of the risks were very uncommon side effects. The only one I remember standing out was the 1-in-10 risk for severe muscle pain, which is NOT the worst side effect possible.",0.625
